DateTime,Device,Temperature_F
2025-09-28 14:38:40,Basement ESP8266,81.5
2025-09-28 14:41:26,Basement ESP8266,81.7,in_range
2025-09-28 14:41:45,Basement ESP8266,81.6,out_of_range
2025-09-28 14:42:53,Basement ESP8266,81.6,out_of_range
2025-09-28 14:43:02,Basement ESP8266,81.6,out_of_range
2025-09-28 14:43:14,Basement ESP8266,81.6,out_of_range
2025-09-28 14:43:50,Basement ESP8266,81.6,out_of_range
2025-09-28 14:44:16,Basement ESP8266,81.6,out_of_range
2025-09-28 14:54:20,Basement ESP8266,81.6,in_range
2025-09-28 15:04:22,Basement ESP8266,81.8,in_range
2025-09-28 15:14:23,Basement ESP8266,81.6,in_range
2025-09-28 15:24:24,Basement ESP8266,81.6,in_range
2025-09-28 15:34:26,Basement ESP8266,81.6,in_range
2025-09-28 15:44:28,Basement ESP8266,81.7,in_range
2025-09-28 15:54:30,Basement ESP8266,81.7,in_range
2025-09-28 16:04:32,Basement ESP8266,81.6,in_range
2025-09-28 16:14:34,Basement ESP8266,81.6,in_range
2025-09-28 16:24:36,Basement ESP8266,81.6,in_range
2025-09-28 16:34:38,Basement ESP8266,81.8,in_range
2025-09-28 16:44:39,Basement ESP8266,81.6,in_range
2025-09-28 16:54:41,Basement ESP8266,81.6,in_range
2025-09-28 17:04:43,Basement ESP8266,81.6,in_range
2025-09-28 17:14:45,Basement ESP8266,81.7,in_range
2025-09-28 17:24:46,Basement ESP8266,81.7,in_range
2025-09-28 17:34:49,Basement ESP8266,81.6,in_range
2025-09-28 17:44:50,Basement ESP8266,81.6,in_range
2025-09-28 17:54:52,Basement ESP8266,81.6,in_range
2025-09-28 18:04:53,Basement ESP8266,81.8,in_range
2025-09-28 18:14:54,Basement ESP8266,81.6,in_range
2025-09-28 18:24:56,Basement ESP8266,81.6,in_range
2025-09-28 18:34:57,Basement ESP8266,81.6,in_range
2025-09-28 18:44:59,Basement ESP8266,81.5,in_range
2025-09-28 18:55:00,Basement ESP8266,81.6,in_range
2025-09-28 19:05:02,Basement ESP8266,81.7,in_range
2025-09-28 19:15:03,Basement ESP8266,81.5,in_range
2025-09-28 19:25:04,Basement ESP8266,81.6,in_range
2025-09-28 19:35:05,Basement ESP8266,81.6,in_range
2025-09-28 19:45:06,Basement ESP8266,81.5,in_range
2025-09-28 19:49:22,Basement ESP8266,81.5,in_range
2025-09-28 19:49:55,Basement ESP8266,81.5,in_range
2025-09-28 19:59:56,Basement ESP8266,81.5,in_range
2025-09-28 20:00:40,Basement ESP8266,81.5,in_range
2025-09-28 20:09:58,Basement ESP8266,81.5,in_range
2025-09-28 20:10:41,Basement ESP8266,81.5,in_range
2025-09-28 20:19:58,Basement ESP8266,81.5,in_range
2025-09-28 20:20:42,Basement ESP8266,81.5,in_range
2025-09-28 20:30:00,Basement ESP8266,81.5,in_range
2025-09-28 20:30:44,Basement ESP8266,81.5,in_range
2025-09-28 20:40:01,Basement ESP8266,81.6,in_range
2025-09-28 20:40:44,Basement ESP8266,81.6,in_range
2025-09-28 20:50:02,Basement ESP8266,81.6,in_range
2025-09-28 20:50:46,Basement ESP8266,81.5,in_range
2025-09-28 21:00:04,Basement ESP8266,81.4,in_range
2025-09-28 21:00:47,Basement ESP8266,81.4,in_range
2025-09-28 21:10:04,Basement ESP8266,81.4,in_range
2025-09-28 21:10:49,Basement ESP8266,81.4,in_range
2025-09-28 21:20:05,Basement ESP8266,81.5,in_range
2025-09-28 21:20:50,Basement ESP8266,81.4,in_range
2025-09-28 21:30:06,Basement ESP8266,81.4,in_range
2025-09-28 21:30:51,Basement ESP8266,81.5,in_range
2025-09-28 21:40:07,Basement ESP8266,81.5,in_range
2025-09-28 21:40:53,Basement ESP8266,81.4,in_range
2025-09-28 21:50:08,Basement ESP8266,81.5,in_range
2025-09-28 21:50:54,Basement ESP8266,81.4,in_range
2025-09-28 22:00:09,Basement ESP8266,81.4,in_range
2025-09-28 22:00:55,Basement ESP8266,81.4,in_range
2025-09-28 22:10:11,Basement ESP8266,81.4,in_range
2025-09-28 22:10:57,Basement ESP8266,81.4,in_range
2025-09-28 22:20:11,Basement ESP8266,81.4,in_range
2025-09-28 22:20:58,Basement ESP8266,81.4,in_range
2025-09-28 22:30:13,Basement ESP8266,81.4,in_range
2025-09-28 22:31:00,Basement ESP8266,81.4,in_range
2025-09-28 22:40:13,Basement ESP8266,81.4,in_range
2025-09-28 22:41:01,Basement ESP8266,81.4,in_range
2025-09-28 22:50:15,Basement ESP8266,81.4,in_range
2025-09-28 22:51:02,Basement ESP8266,81.4,in_range
2025-09-28 23:00:16,Basement ESP8266,81.4,in_range
2025-09-28 23:01:04,Basement ESP8266,81.4,in_range
2025-09-28 23:10:17,Basement ESP8266,81.4,in_range
2025-09-28 23:11:04,Basement ESP8266,81.4,in_range
2025-09-28 23:20:19,Basement ESP8266,81.4,in_range
2025-09-28 23:21:06,Basement ESP8266,81.4,in_range
2025-09-28 23:30:20,Basement ESP8266,81.4,in_range
2025-09-28 23:31:06,Basement ESP8266,81.4,in_range
2025-09-28 23:40:22,Basement ESP8266,81.4,in_range
2025-09-28 23:41:08,Basement ESP8266,81.4,in_range
2025-09-28 23:50:23,Basement ESP8266,81.4,in_range
2025-09-28 23:51:09,Basement ESP8266,81.3,in_range
