"DateTime","ESP8266 50G","ESP8266 55G","Water Meter"
"11/1/2025 0:00","Disconnected","81.7","Disconnected"
"11/1/2025 0:08","Disconnected","81.5","Disconnected"
"11/1/2025 0:10","Disconnected","81.5","Disconnected"
"11/1/2025 0:18","Disconnected","81.5","Disconnected"
"11/1/2025 0:20","Disconnected","81.5","Disconnected"
"11/1/2025 0:28","Disconnected","81.6","Disconnected"
"11/1/2025 0:30","Disconnected","81.6","Disconnected"
"11/1/2025 0:39","Disconnected","81.5","Disconnected"
"11/1/2025 0:41","Disconnected","81.5","Disconnected"
"11/1/2025 0:49","Disconnected","81.5","Disconnected"
"11/1/2025 0:51","Disconnected","81.4","Disconnected"
"11/1/2025 0:59","Disconnected","81.6","Disconnected"
"11/1/2025 1:01","Disconnected","81.5","Disconnected"
"11/1/2025 1:09","Disconnected","81.4","Disconnected"
"11/1/2025 1:11","Disconnected","81.6","Disconnected"
"11/1/2025 1:19","Disconnected","81.4","Disconnected"
"11/1/2025 1:21","Disconnected","81.4","Disconnected"
"11/1/2025 1:29","Disconnected","81.5","Disconnected"
"11/1/2025 1:31","Disconnected","81.5","Disconnected"
"11/1/2025 1:39","Disconnected","81.5","Disconnected"
"11/1/2025 1:41","Disconnected","81.6","Disconnected"
"11/1/2025 1:49","Disconnected","81.5","Disconnected"
"11/1/2025 1:51","Disconnected","81.4","Disconnected"
"11/1/2025 1:59","Disconnected","81.4","Disconnected"
"11/1/2025 2:01","Disconnected","81.5","Disconnected"
"11/1/2025 2:09","Disconnected","81.5","Disconnected"
"11/1/2025 2:11","Disconnected","81.5","Disconnected"
"11/1/2025 2:19","Disconnected","81.4","Disconnected"
"11/1/2025 2:21","Disconnected","81.6","Disconnected"
"11/1/2025 2:29","Disconnected","81.4","Disconnected"
"11/1/2025 2:31","Disconnected","81.4","Disconnected"
"11/1/2025 2:39","Disconnected","81.4","Disconnected"
"11/1/2025 2:41","Disconnected","81.4","Disconnected"
"11/1/2025 2:49","Disconnected","81.5","Disconnected"
"11/1/2025 2:51","Disconnected","81.4","Disconnected"
"11/1/2025 2:59","Disconnected","81.6","Disconnected"
"11/1/2025 3:01","Disconnected","81.5","Disconnected"
"11/1/2025 3:09","Disconnected","81.4","Disconnected"
"11/1/2025 3:11","Disconnected","81.4","Disconnected"
"11/1/2025 3:19","Disconnected","81.4","Disconnected"
"11/1/2025 3:21","Disconnected","81.4","Disconnected"
"11/1/2025 3:30","Disconnected","81.4","Disconnected"
"11/1/2025 3:31","Disconnected","81.4","Disconnected"
"11/1/2025 3:40","Disconnected","81.5","Disconnected"
"11/1/2025 3:42","Disconnected","81.4","Disconnected"
"11/1/2025 3:50","Disconnected","81.6","Disconnected"
"11/1/2025 3:52","Disconnected","81.5","Disconnected"
"11/1/2025 4:00","Disconnected","81.3","Disconnected"
"11/1/2025 4:02","Disconnected","81.3","Disconnected"
"11/1/2025 4:10","Disconnected","81.4","Disconnected"
"11/1/2025 4:12","Disconnected","81.3","Disconnected"
"11/1/2025 4:20","Disconnected","81.4","Disconnected"
