"DateTime","55G Large","ESP8266 50G","ESP8266 55G","Water Meter"
"12/24/2025 00:10","68.6","67.6","77.6","Disconnected"
"12/24/2025 00:20","68.8","67.7","77.6","62.7"
"12/24/2025 00:30","68.7","67.7","77.6","63.5"
"12/24/2025 00:40","68.6","67.7","77.6","64.1"
"12/24/2025 00:50","68.6","67.6","77.6","64.4"
"12/24/2025 01:01","68.4","67.4","77.4","64.7"
"12/24/2025 01:11","68.3","67.4","77.4","65.0"
"12/24/2025 01:21","68.3","67.6","77.4","65.1"
"12/24/2025 01:31","68.2","67.4","77.4","65.2"
"12/24/2025 01:41","68.1","67.4","77.4","67.9"
"12/24/2025 01:52","68.3","67.4","77.3","67.8"
"12/24/2025 02:02","68.3","67.6","77.3","67.6"
"12/24/2025 02:12","68.6","67.4","77.3","67.3"
"12/24/2025 02:22","68.6","67.6","77.4","67.3"
"12/24/2025 02:32","68.7","67.6","77.4","67.2"
"12/24/2025 02:43","68.4","67.7","77.4","67.0"
"12/24/2025 02:53","68.6","67.7","77.3","66.8"
"12/24/2025 03:03","68.8","67.7","77.3","66.9"
"12/24/2025 03:13","68.8","67.6","77.3","66.9"
"12/24/2025 03:23","68.7","67.6","77.3","66.8"
"12/24/2025 03:34","68.7","67.6","77.4","66.7"
"12/24/2025 03:44","68.7","67.6","77.3","66.7"
"12/24/2025 03:54","68.6","67.6","77.3","66.7"
"12/24/2025 04:04","68.6","67.6","77.3","66.5"
"12/24/2025 04:14","68.7","67.7","77.3","66.5"
"12/24/2025 04:25","68.6","67.7","77.3","66.5"
"12/24/2025 04:35","68.7","67.6","77.3","66.5"
"12/24/2025 04:45","68.7","67.7","77.3","66.7"
"12/24/2025 04:56","68.7","67.7","77.4","66.8"
"12/24/2025 05:06","68.7","67.6","77.3","66.8"
"12/24/2025 05:16","68.7","67.7","77.3","66.7"
"12/24/2025 05:26","68.7","67.6","77.3","66.7"
"12/24/2025 05:36","68.8","67.7","77.4","66.8"
"12/24/2025 05:47","68.8","67.7","77.3","66.9"
"12/24/2025 05:57","68.8","67.7","77.3","66.9"
"12/24/2025 06:07","68.7","67.7","77.3","66.9"
"12/24/2025 06:17","68.6","67.6","77.3","66.8"
"12/24/2025 06:27","68.4","67.6","77.3","66.7"
"12/24/2025 06:38","68.3","67.6","77.3","66.4"
"12/24/2025 06:48","68.4","67.4","77.2","66.3"
"12/24/2025 06:58","68.2","67.4","77.2","66.2"
"12/24/2025 07:08","68.1","67.4","77.2","66.1"
"12/24/2025 07:18","68.2","67.4","77.2","66.0"
"12/24/2025 07:29","68.1","67.3","77.2","65.9"
"12/24/2025 07:39","68.0","67.4","77.2","65.8"
"12/24/2025 07:49","68.1","67.4","77.2","52.7"
"12/24/2025 07:59","68.4","67.4","77.2","53.0"
"12/24/2025 08:09","68.6","67.6","77.2","53.8"
"12/24/2025 08:20","68.9","67.7","77.1","54.5"
"12/24/2025 08:30","68.9","67.8","77.2","56.0"
"12/24/2025 08:40","68.8","67.6","77.2","58.8"
"12/24/2025 08:50","68.7","67.7","77.2","60.6"
"12/24/2025 09:00","68.7","67.6","77.2","56.0"
"12/24/2025 09:11","68.4","67.4","77.2","56.9"
"12/24/2025 09:21","68.6","67.4","77.2","53.4"
"12/24/2025 09:31","68.4","67.4","77.1","56.0"
"12/24/2025 09:41","68.3","67.4","77.2","56.0"
"12/24/2025 09:52","68.3","67.4","77.1","58.1"
"12/24/2025 10:02","68.2","67.4","77.1","59.8"
"12/24/2025 10:12","68.4","67.6","77.1","59.2"
"12/24/2025 10:22","68.4","67.6","77.1","59.7"
"12/24/2025 10:32","68.3","67.4","77.1","61.0"
"12/24/2025 10:43","68.2","67.4","77.1","62.0"
"12/24/2025 10:53","68.3","67.6","77.1","62.2"
"12/24/2025 11:03","68.7","67.6","77.1","56.3"
"12/24/2025 11:13","68.7","67.7","77.1","58.3"
"12/24/2025 11:23","68.6","67.7","77.1","60.0"
"12/24/2025 11:34","68.4","67.7","77.1","58.3"
"12/24/2025 11:44","68.4","67.6","77.1","58.9"
"12/24/2025 11:54","68.3","67.4","77.0","59.3"
"12/24/2025 12:04","68.3","67.6","77.1","59.5"
"12/24/2025 12:14","68.2","67.4","77.1","60.8"
"12/24/2025 12:25","68.1","67.4","77.1","60.5"
"12/24/2025 12:35","68.2","67.3","77.1","61.0"
"12/24/2025 12:45","68.1","67.4","77.2","53.0"
"12/24/2025 12:55","67.9","67.3","77.2","55.3"
"12/24/2025 13:05","68.1","67.3","77.1","57.4"
"12/24/2025 13:16","68.4","67.4","77.1","59.2"
"12/24/2025 13:26","68.4","67.4","77.2","53.9"
"12/24/2025 13:36","68.8","67.6","77.3","56.6"
"12/24/2025 13:46","68.6","67.6","77.2","53.4"
"12/24/2025 13:56","68.4","67.6","77.2","56.0"
"12/24/2025 14:07","68.3","67.6","77.2","59.9"
"12/24/2025 14:17","68.4","67.4","77.3","62.0"
"12/24/2025 14:27","68.3","67.4","77.2","54.5"
"12/24/2025 14:37","68.3","67.6","77.3","53.0"
"12/24/2025 14:47","68.4","67.4","77.3","53.8"
"12/24/2025 14:58","68.4","67.6","77.3","52.9"
"12/24/2025 15:08","68.7","67.7","77.4","53.0"
"12/24/2025 15:18","68.8","67.6","77.4","54.3"
"12/24/2025 15:28","68.7","67.7","77.3","57.4"
"12/24/2025 15:38","68.6","67.7","77.4","58.1"
"12/24/2025 15:49","68.7","67.6","77.3","53.7"
"12/24/2025 15:59","68.4","67.4","77.4","56.1"
"12/24/2025 16:09","68.4","67.4","77.4","58.2"
"12/24/2025 16:19","68.4","67.4","77.4","52.8"
"12/24/2025 16:29","68.4","67.4","77.4","51.7"
"12/24/2025 16:40","68.4","67.6","77.4","52.5"
"12/24/2025 16:50","68.4","67.6","77.4","52.5"
"12/24/2025 17:00","68.3","67.4","77.4","54.5"
"12/24/2025 17:11","68.2","67.4","77.4","56.8"
"12/24/2025 17:21","68.2","67.4","77.4","58.5"
"12/24/2025 17:31","68.2","67.6","77.4","60.0"
"12/24/2025 17:41","68.2","67.2","77.4","53.9"
"12/24/2025 17:51","68.2","67.4","77.4","52.9"
"12/24/2025 18:02","68.3","67.4","77.4","55.4"
"12/24/2025 18:12","68.3","67.4","77.4","57.7"
"12/24/2025 18:22","68.6","67.4","77.4","59.6"
"12/24/2025 18:32","68.7","67.6","77.6","61.1"
"12/24/2025 18:42","68.9","67.7","77.6","62.3"
"12/24/2025 18:53","68.9","67.7","77.6","63.3"
"12/24/2025 19:03","68.9","67.7","77.6","63.8"
"12/24/2025 19:13","68.8","67.7","77.7","68.9"
"12/24/2025 19:23","69.0","67.7","77.6","69.0"
"12/24/2025 19:33","69.0","67.9","77.6","68.8"
"12/24/2025 19:43","68.9","67.7","77.6","68.4"
"12/24/2025 19:54","69.0","67.8","77.6","68.0"
"12/24/2025 20:04","69.0","67.7","77.6","67.7"
"12/24/2025 20:14","69.1","67.8","77.7","67.4"
"12/24/2025 20:24","69.0","67.8","77.7","67.3"
"12/24/2025 20:34","69.0","67.7","77.7","67.2"
"12/24/2025 20:45","69.1","67.9","77.8","67.1"
"12/24/2025 20:55","69.2","67.9","77.7","67.1"
"12/24/2025 21:05","69.1","67.9","77.7","67.1"
"12/24/2025 21:15","69.1","67.9","77.7","67.0"
"12/24/2025 21:25","69.1","67.8","77.7","67.0"
"12/24/2025 21:36","69.1","67.9","77.7","67.0"
"12/24/2025 21:46","69.0","67.9","77.7","67.0"
"12/24/2025 21:56","69.0","67.9","77.8","67.0"
"12/24/2025 22:06","69.1","67.9","77.8","66.9"
"12/24/2025 22:17","69.2","67.9","77.8","59.3"
"12/24/2025 22:27","69.0","67.8","77.8","54.6"
"12/24/2025 22:37","69.2","67.8","77.7","56.0"
"12/24/2025 22:47","69.2","68.0","77.8","57.2"
"12/24/2025 22:57","69.1","67.9","77.8","59.5"
"12/24/2025 23:08","69.2","67.9","77.7","61.1"
"12/24/2025 23:18","69.2","67.9","77.7","62.4"
"12/24/2025 23:28","69.0","67.9","77.7","63.2"
"12/24/2025 23:38","69.0","67.8","77.7","54.4"
"12/24/2025 23:48","69.0","67.8","77.7","55.4"
"12/25/2025 00:00","69.1","67.9","77.7","56.6"
"12/25/2025 00:10","69.0","67.9","77.7","58.9"
"12/25/2025 00:20","69.1","67.9","77.6","60.6"
"12/25/2025 00:30","68.9","67.9","77.6","59.7"
"12/25/2025 00:40","69.0","67.8","77.7","61.0"
"12/25/2025 00:51","69.0","67.9","77.6","59.1"
"12/25/2025 01:01","69.2","67.9","77.6","60.8"
"12/25/2025 01:11","69.5","68.0","77.6","62.4"
"12/25/2025 01:21","69.6","68.0","77.6","63.7"
"12/25/2025 01:32","69.7","68.2","77.6","64.8"
"12/25/2025 01:42","69.5","68.1","77.7","65.4"
"12/25/2025 01:52","69.3","68.1","77.7","65.9"
"12/25/2025 02:02","69.3","68.1","77.7","66.2"
"12/25/2025 02:12","69.2","68.0","77.6","66.4"
"12/25/2025 02:23","69.2","68.0","77.6","64.4"
"12/25/2025 02:33","69.1","67.9","77.6","65.0"
"12/25/2025 02:43","69.1","67.9","77.6","65.4"
"12/25/2025 02:53","69.1","67.9","77.6","65.8"
"12/25/2025 03:03","69.1","67.9","77.4","66.0"
"12/25/2025 03:14","68.9","67.9","77.4","66.2"
"12/25/2025 03:24","68.9","68.0","77.4","66.3"
"12/25/2025 03:34","69.0","67.8","77.3","66.3"
"12/25/2025 03:44","68.9","67.9","77.4","66.4"
"12/25/2025 03:54","68.8","67.8","77.4","66.4"
"12/25/2025 04:05","68.8","67.8","77.3","66.4"
"12/25/2025 04:15","68.7","67.8","77.3","66.4"
"12/25/2025 04:25","68.6","67.8","77.3","66.4"
"12/25/2025 04:35","68.7","67.8","77.3","66.3"
"12/25/2025 04:45","68.6","67.7","77.3","66.3"
"12/25/2025 04:55","68.4","67.8","77.2","66.3"
"12/25/2025 05:06","68.7","67.7","77.2","66.3"
"12/25/2025 05:16","68.7","67.8","77.2","66.3"
"12/25/2025 05:26","68.6","67.7","77.3","66.4"
"12/25/2025 05:36","68.7","67.8","77.2","66.4"
"12/25/2025 05:46","68.7","67.8","77.2","66.5"
"12/25/2025 05:57","68.9","67.9","77.2","69.7"
"12/25/2025 06:07","68.9","67.9","77.2","69.9"
"12/25/2025 06:17","68.8","67.9","77.2","69.6"
"12/25/2025 06:27","68.8","67.9","77.2","69.1"
"12/25/2025 06:37","68.8","67.9","77.2","68.7"
"12/25/2025 06:48","68.9","67.9","77.2","68.3"
"12/25/2025 06:58","68.7","67.8","77.2","68.0"
